numStars,NumAuthors,NumBlobs,LatestCommitDate,projectID,EarlistCommitDate,rootFork,communitySize,NumCommits,NumFiles
2352,107,20331,1599384343,0x0frmbl_ArchiSteamFarm,1445750014,JustArchi_ArchiSteamFarm,501,10538,8875
,311,66137,1600031931,0x0mar_JohnTheRipper,1018448004,,710,21758,17097
,1157,32010,1592256365,0x24Aof_generator-angular-fullstack,1317966789,,3996,11094,20517
252,139,71230,1598987317,0x56794E_lapack,1115133449,Reference-LAPACK_lapack,202,8803,36477
414,341,65958,1599835831,0x6e_osgearth,1220460746,gwaldron_osgearth,545,15507,10796
85,599,60670,1599846942,0xD3ADB33F_jenkins.io,1444667245,jenkins-infra_jenkins.io,485,13033,45605
728,221,23940,1598961121,0xLBF_pods,1223485745,pods-framework_pods,295,12334,6318
4463,997,11047,1598384883,0xdco_active_model_serializers,1322721531,rails-api_active_model_serializers,1520,6672,1128
204,1264,212976,1600138139,0xffea_opam-repository,1311190763,ocaml_opam-repository,717,69145,285236
1205,1266,28479,1599011648,0xflotus_kafka-node,1368512616,SOHU-Co_kafka-node,2919,6048,28171
525,286,34568,1599090952,0xmaximillian_dfhack,1251634390,DFHack_dfhack,349,11954,13760
487,112,13447,2007797718,0xr0ot_trinity,1141712627,kernelslacker_trinity,231,9210,2317
1608,502,13887,1598804363,10110001_mithril.js,1395021579,MithrilJS_mithril.js,892,6166,4989
1561,415,7431,1595872039,1032231418_pika,1250082093,pika_pika,652,5156,673
801,90,36397,1549857651,107192468_goclipse,1258297004,GoClipse_goclipse,378,6997,11273
,431,231172,1599407037,10Imaging_rtems,800213977,,376,44580,65828
12,165,107231,1597670376,10cobra87_fabrik,1312993644,pollen8_fabrik,462,16327,39113
1849,274,10059,1599063318,11chankun_phpseclib,1181599825,phpseclib_phpseclib,679,6146,1139
1538,229,11623,1597169961,123monkey_quartz,1074566160,quartz-scheduler_quartz,881,8822,40870
664,308,38475,1599905785,1242035_AnySoftKeyboard,1242568573,AnySoftKeyboard_AnySoftKeyboard,789,10255,24697
,127,27781,1592073516,12aZeR_gallery3,1225482496,,283,10836,6137
31,333,10305,1598419957,12incz_zend-view,1240914229,zendframework_zend-view,89,11144,861
,261,62701,1598828233,132435phil_Galacticraft,1349160399,,338,9154,13193
336,107,63516,1592982983,132yse_omi,1433082201,Tencent_omi,727,6885,45577
1008,442,29353,1600070882,134130U_npgsql,1139923753,npgsql_npgsql,631,8514,4998
,464,18774,1594890953,1350562074_tw.hao,1426579472,,1218,5413,3958
1083,313,29615,1560917422,13812453806_android-maven-plugin,1206992957,simpligility_android-maven-plugin,616,6795,11297
6,1545,664517,1595607860,1396755702_UnrealEngine,1394820821,thiswebzhangyong_UnrealEngine,375,129664,254381
116,343,235953,1743455933,15259176443_ovirt-engine,1317746589,oVirt_ovirt-engine,150,44938,24351
4131,324,15889,1595520633,15310944349_gevent,1246938915,gevent_gevent,996,14958,3459
,79,5627,1576822818,153_bibanon,1230825227,kaleeswaran14_bibanon,127,6230,6315
354,5287,578480,1599985562,15449119_scratch-gui,1255109553,LLK_scratch-gui,7898,167238,1088044
302,270,72861,1599143173,17-1-SKKU-OSS_xe-core,1170772427,xpressengine_xe-core,386,20606,24800
2342,2891,150182,1599698579,17601606252_chef,1204788698,chef_chef,4475,84344,17178
169,206,58239,1599663992,17707046517_gentoo-zh,1156064849,microcai_gentoo-zh,120,7056,9980
312,111,38212,1593638754,1787837778_threadfix,1324064045,denimgroup_threadfix,152,9538,12247
38,238,33994,1599656279,18-2-SKKU-OSS_docs,1423735193,cockroachdb_docs,167,12331,15609
