Date,ncommits
1999-01-01,103
1999-02-01,103
1999-03-01,114
1999-04-01,205
1999-05-01,245
1999-06-01,137
1999-07-01,90
1999-08-01,79
1999-09-01,63
1999-10-01,36
1999-11-01,58
1999-12-01,57
2000-01-01,197
2000-02-01,291
2000-03-01,194
2000-04-01,37
2000-05-01,74
2000-06-01,94
2000-07-01,52
2000-08-01,49
2000-09-01,257
2000-10-01,79
2000-11-01,167
2000-12-01,162
2001-01-01,85
2001-02-01,179
2001-03-01,158
2001-04-01,93
2001-05-01,68
2001-06-01,78
2001-07-01,112
2001-08-01,71
2001-09-01,156
2001-10-01,99
2001-11-01,80
2001-12-01,30
2002-01-01,92
2002-02-01,104
2002-03-01,67
2002-04-01,61
2002-05-01,75
2002-06-01,84
2002-07-01,70
2002-08-01,123
2002-09-01,26
2002-10-01,139
2002-11-01,137
2002-12-01,141
2003-01-01,112
2003-02-01,74
2003-03-01,88
2003-04-01,55
2003-05-01,40
2003-06-01,57
2003-07-01,16
2003-08-01,6
2003-09-01,25
2003-10-01,52
2003-11-01,52
2003-12-01,30
2004-01-01,27
2004-02-01,11
2004-03-01,74
2004-04-01,28
2004-05-01,65
2004-06-01,23
2004-07-01,69
2004-08-01,27
2004-09-01,25
2004-10-01,9
2004-11-01,42
2004-12-01,48
2005-01-01,34
2005-02-01,14
2005-03-01,37
2005-04-01,164
2005-05-01,120
2005-06-01,109
2005-07-01,73
2005-08-01,48
2005-09-01,45
2005-10-01,48
2005-11-01,62
2005-12-01,54
2006-01-01,47
2006-02-01,41
2006-03-01,77
2006-04-01,104
2006-05-01,70
2006-06-01,53
2006-07-01,55
2006-08-01,18
2006-09-01,42
2006-10-01,31
2006-11-01,34
2006-12-01,49
2007-01-01,13
2007-02-01,42
2007-03-01,22
2007-04-01,64
2007-05-01,55
2007-06-01,25
2007-07-01,29
2007-08-01,32
2007-09-01,59
2007-10-01,28
2007-11-01,21
2007-12-01,17
2008-01-01,36
2008-02-01,18
2008-03-01,62
2008-04-01,66
2008-05-01,46
2008-06-01,56
2008-07-01,22
2008-08-01,22
2008-09-01,26
2008-10-01,46
2008-11-01,56
2008-12-01,65
2009-01-01,24
2009-02-01,28
2009-03-01,42
2009-04-01,39
2009-05-01,53
2009-06-01,34
2009-07-01,36
2009-08-01,22
2009-09-01,40
2009-10-01,56
2009-11-01,41
2009-12-01,47
2010-01-01,82
2010-02-01,50
2010-03-01,84
2010-04-01,41
2010-05-01,35
2010-06-01,13
2010-07-01,53
2010-08-01,24
2010-09-01,18
2010-10-01,17
2010-11-01,49
2010-12-01,14
2011-01-01,73
2011-02-01,122
2011-03-01,76
2011-04-01,127
2011-05-01,138
2011-06-01,78
2011-07-01,43
2011-08-01,42
2011-09-01,83
2011-10-01,118
2011-11-01,54
2011-12-01,55
2012-01-01,50
2012-02-01,42
2012-03-01,40
2012-04-01,48
2012-05-01,20
2012-06-01,30
2012-07-01,46
2012-08-01,31
2012-09-01,38
2012-10-01,35
2012-11-01,79
2012-12-01,70
2013-01-01,42
2013-02-01,47
2013-03-01,54
2013-04-01,41
2013-05-01,15
2013-06-01,37
2013-07-01,36
2013-08-01,25
2013-09-01,42
2013-10-01,58
2013-11-01,43
2013-12-01,95
2014-01-01,36
2014-02-01,71
2014-03-01,22
2014-04-01,51
2014-05-01,105
2014-06-01,145
2014-07-01,104
2014-08-01,113
2014-09-01,74
2014-10-01,73
2014-11-01,58
2014-12-01,88
2015-01-01,187
2015-02-01,186
2015-03-01,187
2015-04-01,168
2015-05-01,195
2015-06-01,119
2015-07-01,73
2015-08-01,122
2015-09-01,274
2015-10-01,200
2015-11-01,133
2015-12-01,264
2016-01-01,337
2016-02-01,574
2016-03-01,587
2016-04-01,337
2016-05-01,334
2016-06-01,294
2016-07-01,265
2016-08-01,349
2016-09-01,213
2016-10-01,241
2016-11-01,286
2016-12-01,158
2017-01-01,252
2017-02-01,349
2017-03-01,280
2017-04-01,273
2017-05-01,215
2017-06-01,239
2017-07-01,212
2017-08-01,194
2017-09-01,114
2017-10-01,117
2017-11-01,169
2017-12-01,130
2018-01-01,175
2018-02-01,208
2018-03-01,278
2018-04-01,204
2018-05-01,164
2018-06-01,151
2018-07-01,142
2018-08-01,100
2018-09-01,153
2018-10-01,146
2018-11-01,116
2018-12-01,170
2019-01-01,77
2019-02-01,126
2019-03-01,176
2019-04-01,131
2019-05-01,131
2019-06-01,168
2019-07-01,178
2019-08-01,173
2019-09-01,256
2019-10-01,167
2019-11-01,150
2019-12-01,75
